id,name,dungeon_id,floor,hp,attack,defense,exp_reward,gold_reward,is_boss,status_resistance,intelligence
1,スライム,1,1,20,5,2,10,8,0,,1
2,コウモリ,1,1,15,7,1,12,10,0,,1
3,ゴブリン,1,2,35,10,4,20,15,0,,2
4,オーク,1,2,40,12,5,25,20,0,,2
5,ドラゴン,1,3,60,14,6,35,30,0,,2
10,ゴブリンキング,1,1,60,10,5,50,40,1,stun,3
11,オークチーフ,1,2,90,15,8,80,65,1,stun,3
12,ダークロード,1,3,120,20,10,100,100,1,stun,3
20,ゾンビ,2,1,30,6,3,15,12,0,,1
21,骸骨剣士,2,1,25,8,2,18,14,0,,1
22,呪われた騎士,2,2,50,12,6,30,25,0,,2
23,ダークエルフ,2,2,40,14,4,28,22,0,,2
24,死霊術師,2,3,70,16,5,40,32,0,,2
25,邪神の使徒,2,1,70,12,6,55,45,1,stun,3
26,魔将軍,2,2,100,18,9,85,70,1,stun,3
27,冥界の番人,2,3,140,24,12,110,90,1,stun,3
